Element,(All),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sum of Value,Column Labels,,,,,,,,,,WHEAT,,,,Corn,,,,Soybeans,
Row Labels,Barley,Cereals n.e.c.,Maize (corn),Rice,Soya beans,Wheat,Grand Total,,,,Production,Price Index,,,Production,Price Index,,,Production,Price Index
1990,183318798,1863292,584677221,713620591,120573536,692232528,2296285966,,,1990,692232528,94.6382569,100,,584677221,68.6339273,,,120573536,60.4070393
1991,175687971,2786851,597941079,708120170,113754430,646443201,2244733702,,,1991,646443201,89.84462889,94.93478835,,597941079,67.4991668,,,113754430,57.56126973
1992,172160491,2285877,634380037,719916215,125535129,669777745,2324055494,,,1992,669777745,105.5584454,111.5388732,,634380037,65.4516845,,,125535129,57.84357767
1993,175988762,2333256,585211001,713005920,131837733,674292678,2282669350,,,1993,674292678,97.91267023,103.4599257,,585211001,64.08701335,,,131837733,63.45016059
1994,167829526,2398440,673180358,720273476,153630479,627882975,2345195254,,,1994,627882975,104.5965949,110.522529,,673180358,67.69095108,,,153630479,63.27708208
1995,147440640,2470773,634640002,738201980,141738168,649796543,2314288106,,,1995,649796543,123.5748201,130.5759681,,634640002,77.5345825,,,141738168,61.76211741
1996,161666739,2891063,719174511,769404986,144772247,692465204,2490374750,,,1996,692465204,137.7287505,145.5317913,,719174511,103.3299441,,,144772247,76.49648116
1997,160976207,3149504,694448145,783577407,160440043,741271462,2543862768,,,1997,741271462,104.4076748,110.3229056,,694448145,73.59107003,,,160440043,77.36345676
1998,143130877,2511120,753682520,783100372,176600083,709298838,2568323810,,,1998,709298838,79.93295236,84.46156446,,753682520,63.82189487,,,176600083,61.5621273
1999,133693836,3092995,741270837,815402767,173450767,701931206,2568842408,,,1999,701931206,68.61751655,72.50505112,,741270837,56.70990668,,,173450767,48.2261113
2000,138117442,3133220,703925777,792282742,178011890,688013006,2503484077,,,2000,688013006,70.34799989,74.33357523,,703925777,55.40678999,,,178011890,50.46821679
2001,146005949,3384349,735296907,783433836,193803754,685647105,2547571900,,,2001,685647105,74.28230515,78.49077909,,735296907,56.27973317,,,193803754,46.5264592
2002,146935660,3251818,729943128,751271623,198875224,685891616,2516169069,,,2002,685891616,92.29508908,97.5240797,,729943128,62.38704985,,,198875224,52.07130374
2003,142269593,3777645,767027813,753193374,207295052,639881761,2513445238,,,2003,639881761,92.12141389,97.34056492,,767027813,66.10018892,,,207295052,64.2909052
2004,162274611,4070889,866474568,791937688,224388976,730350563,2779497295,,,2004,730350563,93.84774986,99.16470667,,866474568,70.27646213,,,224388976,76.2690357
2005,142866025,5038504,860282439,820349441,232408621,728144863,2789089893,,,2005,728144863,90.55373835,95.68407251,,860282439,61.86851568,,,232408621,61.52361367
2006,150342927,4356493,866268504,828154240,238137093,726478001,2813737258,,,2006,726478001,118.1127754,124.8044705,,866268504,76.40161461,,,238137093,59.95307782
2007,136879761,4892829,952716016,845496561,233967704,719527642,2893480513,,,2007,719527642,161.4409037,170.5873596,,952716016,102.7564959,,,233967704,87.48656284
2008,159784214,4933642,1002772566,881991166,248339205,796670781,3094491574,,,2008,796670781,204.5848427,216.1756243,,1002772566,140.2832097,,,248339205,124.8784123
2009,156195222,5494544,992093731,881332085,239896959,802536054,3077548595,,,2009,802536054,134.1523587,141.7527785,,992093731,104.0242036,,,239896959,104.3668135
2010,128345460,6704067,1037663146,896058284,281762564,759715441,3110248962,,,2010,759715441,136.3328085,144.056762,,1037663146,116.7914647,,,281762564,106.1312421
2011,137477303,6005416,1088394702,926624362,277655590,818175965,3254333338,,,2011,818175965,195.7266605,206.8155806,,1088394702,183.3012826,,,277655590,133.5089073
2012,137007520,6739898,1088532365,938170311,255899107,798682893,3225032094,,,2012,798682893,192.9667035,203.8992579,,1088532365,187.4360806,,,255899107,148.2635026
2013,148484348,7347902,1243284946,941549053,291213738,836125734,3468005721,,,2013,836125734,185.5338592,196.0453048,,1243284946,162.6541172,,,291213738,142.5955479
2014,150283775,7777978,1263715417,943624215,320100522,859050303,3544552210,,,2014,859050303,169.6210009,179.2309014,,1263715417,121.1770235,,,320100522,126.2213701
2015,153040254,8356860,1325580844,950332892,336672384,878634850,3652618084,,,2015,878634850,129.7938019,137.1472871,,1325580844,106.6722774,,,336672384,95.76758519
2016,150968698,8161003,1399381330,951386707,350457773,885798855,3746154366,,,2016,885798855,100,105.6655134,,1399381330,100,,,350457773,100
2017,152882953,8166254,1406026037,966438968,376535639,910705109,3820754960,,,2017,910705109,101.4613166,107.2096211,,1406026037,97.09463453,,,376535639,98.92954353
2018,143818048,8654165,1389822515,977781551,362474537,867474268,3750025084,,,2018,867474268,129.9774644,137.341355,,1389822515,103.3223368,,,362474537,94.43667098
2019,162793754,9089413,1410619545,965353268,356258738,902792463,3806907181,,,2019,902792463,114.0059855,120.4650098,,1410619545,106.876276,,,356258738,90.15603141
2020,161310581,9500544,1431511843,975055729,374886176,899409959,3851674832,,,2020,899409959,129.5474345,136.8869618,,1431511843,103.9928264,,,374886176,96.46289268
Grand Total,4729977945,154620604,29179939850,26026441980,7221373861,23425099612,90737453852,,,,,185.6084988,196.1241731,,,162.9149952,,,,139.2587278
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Correlation,0.444143709,,,,Correlation,0.596606412,,,Correlation,0.632159095
